Artist,Tags
Kalle Mattson,"indie folk, folk, indie, canada, indie rock, Canadian, Ottawa, emo, folk-rock, ontario, a campfire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away, metal, Hip-Hop, electronic, trip-hop, hip hop, pop, rock, country, instrumental, alternative, alternative rock, rap, ambient, experimental, indie pop, post-rock, singer-songwriter, Progressive rock, unsigned, epic, acoustic, americana, blues, shoegaze, beautiful, krautrock, idm, psychedelic, weird, driving music, free, trip hop, Avant-Garde, hiphop, covers, Gangsta Rap, freak folk, tribal, folktronica, Indie-Rock, death metal, folk rock, New Weird America, triphop, alt folk, Calming, male vocalists, montreal, 00s, Alternative Folk, 00's, alternative pop, singer-songwriters, Canadiana, south african, quebec, montreal canada, lesser known yet streamable artists, love at first listen, stuff to check out, Remakes, 2010, toget, vegetarian, northern, upcoming, Eargasm, 10s, new favorites, fully streamable albums, wilco, chocolate, Bob Dylan, south africa, sxsw 2008, sxsw 2009, Pavement, afrikaans, acoustique, alt-folk, epic rock, waterfalls, country blues, fingerstyle, All, indi, nyfiken, Fingerpicking, Acoustic Indie"
Spaceport,"trance, progressive trance, electronic, indie, Classical, classic, instrumental, ambient, indie pop, indie rock, female vocalists, epic, chamber pop, techno, melodic, dream pop, club, remix, Progressive, emotional, Uplifting, mix, dj, melodic trance, symphonic, epic trance, extended, Dream, Edit, extended mix, uplifting trance, dream trance"
Miss Grit,"art pop, indie rock, rock, USA, seen live, indie, alternative, alternative rock, indie pop, female vocalists, mute, Brooklyn, 3, industrial rock, synth-pop"
Dreamville,"rap, Hip-Hop, hip hop, jazz rap, Conscious Hip Hop, trap, pop rap, dreamville, seen live, american, contemporary rnb, j cole, jazz, soul, female vocalists, rnb, Jazz Hop, dansk, east coast hip hop, east coast hip-hop, jazz hip-hop, bas, chiller, Jid"
Phoneboy,"indie, indie pop, indie rock, USA, good, new jersey"
John Blek,"folk, seen live, singer-songwriter, irish"
FONTINE,"canada, Winnipeg, manitoba"
The Academic,"seen live, rock, indie rock, alternative, irish, ireland, indie, pop rock, male vocalists, 10s, alt, seen live more than once, eurosonic2016, sxsw 2017"
Dignan Porch,"seen live, Lo-Fi, shoegaze, indie, psychedelic, 5432fun, BIRP, alternative, indie pop, indie rock, psychedelic pop, london, england, noise pop, United Kingdom, british, folk-rock, post-punk, Psychedelic Rock, investigate, english, meh, geohash:gcpvj0e5m415, All, Incubate, tweegaze, Home collection, tooting, shimmer psych"
@,"mysterious, mistagged artist, unknown, rock, Soundtrack, seen live, alternative, electronic, emo, jazz, indie, black metal, pop, metal, Classical, techno, mistagged, electro, classic rock, Hip-Hop, female vocalists, wtf, All, trance, indie rock, dance, j-pop, japanese, hip hop, rap, experimental, Brutal Death Metal, 80s, singer-songwriter, psychedelic, reggae, metalcore, instrumental, punk, alternative rock, folk, dub, better than radiohead, ambient, ska, hardcore, Progressive rock, House, death metal, opeth, heavy metal, blues, Drum and bass, punk rock, noise, soul, industrial, Awesome, breakcore, Luxtorpeda, chillout, electronica, Progressive metal, russian, overrated, metallica, depressive black metal, Grunge, hard rock, romantic, lounge, thrash metal, oldies, german, male vocalists, Linkin Park, 70s, post-rock, acoustic, new wave, post-punk, Soundtracks, amazing, Garage Rock, dnb, anime, 00s, polish, RAC, deathcore, rockabilly, country, grindcore, indie pop, favorites, Queen, piano, beautiful, Melodic Death Metal, 90s"
Steady Holiday,"dream pop, indie pop, electronic, pop, female vocalists, alternative, indie, USA, synth pop, american, folk pop, los angeles, 10s, music i tried but didnt like, 3-5"
Niamh Regan,"singer-songwriter, irish, folk"
Free Range,"techno, experimental, ebm, folk, electro, House, american, Acid, indie folk, folk pop, chicago, wave, Illinois, indie dance, us, new beat"
Cat Clyde,"blues, singer-songwriter, bluegrass, indie, seen live, folk, female vocalists, canada, Canadian, folk rock, blues rock, sxsw 2017"
Mimi Webb,"pop, seen live, british, electropop, female vocalists, dance, electronic, UK, USA, piano, dance-pop, female vocalist, dance pop, 4, United Kingdom, Great Britain, bimbo, 2020s, alt z"
Low Island,"indie pop, electronic, british, seen live, pop, UK, synth pop, indietronica, vocal, bass, england, synthpop, percussion, male vocalists, 10s, lute, european, poptron"
The Nude Party,"Garage Rock, seen live, rock, folk, USA, folk rock, Psychedelic Rock, indie rock, Awesome, indie folk, country rock, North Carolina"
Hand Habits,"seen live, folk, indie, indie folk, singer-songwriter, USA, 3, dream pop, american, folk rock, queer, folk pop, Saddle Creek, 2010s, United States, xx, sl, 5432fun, 2020, parts of the body, 2020s, lgbtq, milk records, trans and gender diverse, kentsimbtemp"
Plain Speak,"indie, rock, alternative, alternative rock, indie rock, male vocalists"
Black Honey,"seen live, indie rock, rock, alternative rock, female vocalists, indie, indie pop, psychedelic, alternative, UK, british, Lo-Fi, Psychedelic Rock, blues rock, pop rock, england, Garage Rock, brighton, United Kingdom, pop, noise rock, hard rock, punk rock, Rock 'n' Roll, surf rock, alternative pop, female vocal, 4, Europe, english, 10s, female fronted, colours, 20s, All, alt-pop, female fronted rock, food and drink, female guitarists, modern hard rock, Spunk rock, Artists Ive Met, great discovery, english indie rock, modern alternative rock, eurosonic2016, myglasto2017, brighton indie"
Lichen Slow,"indie rock, rock, alternative rock, england, scotland"
Lana Del Rey,"female vocalists, indie, indie pop, pop, alternative, dream pop, american, seen live, singer-songwriter, trip-hop, sadcore, cult, chamber pop, legend, Lana Del Rey, baroque pop, art pop, female vocalist, trip hop, alternative pop, Retro, USA, chillout, soul, rock, sexy, new york, indie rock, hollywood sadcore, folk, female, jazz, 10s, lana, 2010s, electronic, blues, vintage, alternative rock, overrated, americana, beautiful, retro pop, melancholic, dark pop, Hollywood Pop, sad, soft rock, chill, pop rock, diva, slowcore"
The Blaze,"House, seen live, electronic, deep house, french, electronica, Progressive House, france, dance, electro house, french house, chillwave, 10s, tech, UK Garage, i have seen live, 3-5, yandex music, ma vie de roadie"
Field Guide,"folk, indie rock, USA, folk rock, indie folk, folk pop"
Masego,"rnb, jazz, seen live, soul, electronic, House, trap house jazz, nu jazz, jazz fusion, american, male vocalists, english, jamaica, Neo-Soul, trap, jamaican, chillstep, north america, opener, alternative rnb, indie soul, ish, contemporary soul, 2024, tagme, ma vie de roadie"
Jenny O.,"indie, acoustic, singer-songwriter, indie pop, female vocalists, kgrl, alternative, seen live, new york, los angeles, asciiecho, pop, rock, folk, indie rock, girls, american, California, indie folk, female vocalist, singer-songwriters, female artists, under 2000 listeners, electric, Long Island, SXSW 2013, geohash:dr7bh52t4pq8, All, listen, lovelorn, skinny, female-vocalists, 6 stars, los angeles loves you, virally female, Underrated gems, fpa, ellias, sexy chick, George Ellias, Rave On Buddy Holly Compilation, new los angeles folk festival"
Shalom,"Czech, hard rock, synthpop, pop, reggae, synth pop, indie, alternative, 90s, spanish hard rock, heavy metal, spanish, seen live, rock, 70s, indie pop, new wave, Brooklyn, Spanish Rock, new romantic, south africa, multiple artists, spotify, Alt-Indie, Spanish Metal, full track, Alt Indie, xian, jebem ja tvojho boha, upcoming album 2023"
IDK,"rap, Hip-Hop, trap, rnb, hip hop, seen live, hardcore hip hop, hardcore, boom bap, rock, country, british, punk, USA, london, american, earnest, english, conscious hip-hop, under 2000 listeners, hardcore punk, hardcore hip-hop, maryland, All, trap music, east coast hip hop, east coast hip-hop, jazz rap, positive hardcore, jazz hip-hop, southern hip-hop, scremo, trap rap, hardcore rock, CHRISTION ROCK, Experimental Noise-Dream-Funk"
Wave Chapelle,"trap, Hip-Hop, rap, hiphop"
Charlie Burg,"singer-songwriter, rnb, soul, indie, USA"
Mariel Buckley,"folk, singer-songwriter, canada, americana, america,  alt-country"
Esmé Patterson,"folk, country, folk rock, seen live, indie, indie folk, Denver, jazz, pop, female vocalists, USA, acoustic, americana, american, folk pop, Colorado, portland, oregon, geohash:c20fbq9tpx02, geohash:9xj6jq7vt45f, coffeehouse, to::listen::to"
Florist,"seen live, indie pop, Lo-Fi, indie folk, folk, USA, indie, pop, american, folk pop, bedroom pop, female vocalists, techno, alternative, singer-songwriter, minimal, 10s, art pop, electronic, instrumental, new york, ambient, sad, post-rock, calm, acoustic, post-punk, romantic, tech house, Dreamy, thoughtful, Searching, Reflective, atmospheric, Brooklyn, introspective, melancholy, gentle, Rainy Day, melancholic, earnest, Bittersweet, introspection, reflection, intimate, microhouse, female vocalist, yearning, Pastoral, warm, lonely, field recordings, under 2000 listeners, loneliness, sweet, sparse, 2010s, airy, 20s, wistful, Sentimental, tender, ambient folk, bedroom, Brittle, confessional, 5432fun, in love, slacker rock, everyday life, vulnerable, diy pop, 2020s, rutracker, mixed-indie pop, kentsimbtemp"
THICK,"indie rock, punk rock, rock, female vocalists, pop punk, indie, 70s, punk, alternative rock, new york, hard rock, USA, Retro, american, Garage Rock, blues rock, riot grrrl, desert rock, 2010s, multiple artists, Punk-Rock, spotify, 6 stars, 2020s, 3-5, All Girl Rock Band, yandex music"
Pete Yorn,"singer-songwriter, rock, indie, alternative, indie rock, seen live, alternative rock, folk, acoustic, male vocalists, indie pop, american, Pete Yorn, Alt-country, pop, new jersey, Mellow, chill, pop rock, favorites, Soundtrack, USA, chillout, Progressive rock, 00s, Acoustic Rock, classic rock, Love, Favorite Artists, electronica, male, punk, emo, folk-rock, Adult Alternative, folk rock, singer songwriter, Veronica Mars, male singer-songwriters, Hip-Hop, electronic, jazz, female vocalists, techno, guitar, indie folk, male vocalist, singer-songwriters, want to see live"
Bathtub Cig,"indie, indie pop, singer-songwriter, USA, Lo-Fi, Minneapolis, bedroom pop"
Rogue Valley,"indie, folk, indie rock, alternative rock, USA, Minnesota, chillout, seen live, rock, country, americana, indie folk, male vocalists, check out, 10s, Local, All, bro, Keep the Fate"
The Medium,"rap, Hip-Hop, polish, Drum and bass, hardstep, hip hop, darkside, underground, kielce, seen live, underground hip-hop, Polski Hip Hop, Polish RAP, black metal, death metal, underground hip hop, polish hip-hop, polski rap, Polski Hip-Hop, rock, alternative, grindcore, hard rock, underground rap, argentina, Drum n Bass, techstep, darkstep, crossover, hardcore punk, Brutal Death Metal, Christian Rap, polskie, Polish hip hop, podziemie, heavy metal, metalcore, metal, electronic, jazz, 60s, alternative rock, hardcore, experimental, Progressive rock, Crust, new wave, post-punk, Post punk, Canadian, cuba, hiphop, 12, finnish, dnb, cuban, stoner, Psychedelic Rock, Romanian, love at first listen, to listen, drum & bass, crust punk, polska, alternative rap, Jazz Hop, poland, Acid Rock, Blackened Death Metal, no, medium, old school death metal, the best, exegene, blackened hardcore, metallic hardcore, spotify, Asfalt Records, hh, christian hip-hop, najsurowszy norweski black metal prosto z glebin norweskich lasow osikany moczem renifera, smutne pipczenie dla 14latek, polski, disco polo, muzyka grozaca kalectwem umyslowym, good rap music, kto tu robi UnderGround, respekt, ck, various artists are a PITA on lastfm, net discovery, smutne pipczenie dla 14 latek, Mukawakiwa Records, Ohm Resistance, rozkurw, polskie podziemie, gimnazjada, awesome :O, hip hop kocur, Tau"
MARO,"pop, portuguese, Eurovision, jazz, Portugal, eurovision 2022, indie, Eurovision Song Contest, ESC, ESC 2022, Eurovision Song Contest 2022, electronic, seen live, singer-songwriter, indiepop, acoustic, easy listening, pretty, rnb, soulful, female singer, under 2000 listeners, trap, lebanese, Turkmenistan, spotify, estrada, turkmen, female indie pop, singsongwriter, berklee college of music, portuguese female vocalists, True Talent, eurovision artists with over 1 million scrobbles, portugal eurovision representatives, gentle indie sounds, fdc 2022, team maro, itsa me maro, upcoming album 2023, for your grammy consideration 2023, europe 2023, indie soul jazz talent"
Mac Miller,"Hip-Hop, rap, underground hip-hop, pittsburgh, underground rap, hip hop, seen live, american, mac miller, pop rap, Pennsylvania, rnb, Neo-Soul, alternative rap, jazz rap, swag, pop, alternative hip-hop, underground, alternative, Dope, 10s, cloud rap, new wave, male vocalists, white rap, Hipster-Hop, hipster rap, most dope, indie, jazz, chill, USA, trap, abstract hip hop, All, east coast hip hop, frat rap, Donald Trump, hip pop, alternative rnb"
070 Shake,"rnb, seen live, hip hop, rap, Hip-Hop, synthpop, alternative rnb, pop, american, female vocalists, pop rap, new jersey, experimental, USA, trap, electronic, psychedelic, female vocalist, queer, east coast hip hop, art pop, 070, electropop, female, dance-pop, synth pop, ambient pop, psychedelic pop, Experimental pop, dream pop, alternative pop, Kanye West, alternative hip-hop, chillwave, alternative rap, Neo-Psychedelia, Avant-Pop, good music, r'n'b, alternative hip hop, experimental rap, alt-pop, dark pop, experimental hip-hop, cloud rap, female rapper, emo rap, lgbt, crush, psychedelic hip-hop, jersey club, trap rap, experimental rnb, would bang, 3-5, new jersey rap, yellowgirl, 070 Shake, North Bergen, 070 , epxperimental pop, seen live - primavera 2024"
Maya Hawke,"folk, indie, singer-songwriter, indie pop, alternative, pop, female vocalists, indie folk, seen live, USA, folk pop, new york, acoustic, songwriter, noise pop, american, folk rock, alternative pop, actor, hollywood, 2020s, 3a, 4-25, 6-5 out of 10, nepo baby"
Flatbush Zombies,"Hip-Hop, rap, underground hip-hop, hip hop, Brooklyn, beast coast, new york, seen live, cloud rap, hardcore hip-hop, Grime, underground rap, East Coast, FLATBUSH, experimental, american, underground hip hop, alternative rap, swag, alternative hip-hop, trap, east coast rap, alternative hip hop, east coast hip-hop, Flatbush Zombies, psychedelic, Dope, NYC, male vocalists, drugs, 10s, Horrorcore, All, experimental hip-hop, east coast hip hop, psychedelic hip-hop, zombie music, psychedelic hip hop, alternative, experimental hip hop, Acid, PL, 00's, producer, lyrical, marijuana, hardcore rap, abstract hip-hop, abstract hip hop, <3, us, sxsw 2012, United States, SXSW 2013, geohash:dr5rhyq7wdcd, Hip Hop/Rap, underground hiphop, experimental rap, real hip hop, New York Rap, Conscious Hip Hop, hardcore hip hop, spotify, junkie, New School, slump, Flying Lotus, Rap US, 6 stars, trillwave, trap rap, weed songs, newschool, US rap, Dicksuckers, retch, meme rap, Us Hip Hop, psychedelic rap, currensy, Young Roddy, cloud-rap, blunt rap, gimmick rap, living-dead rap, ultra mega trap shit, horrorswag, young lavish, ushh"
cheerbleederz,"indie rock, indie pop, female vocalists, pop rock, british, alternative, UK, england, female vocal, United Kingdom, All Girl Rock Band, yandex music, 4-25"
Julia Jacklin,"seen live, singer-songwriter, folk, indie folk, indie, australian, indie rock, female vocalists, indie pop, australia, alternative, Alt-country, female vocalist, pop, rock, country, alternative rock, sexy, pop rock, folk rock, folk pop, alternative pop, 10s, 2010s, sad, piano, beautiful, melodic, quirky, Reflective, late night, dream pop, seenlive, narrative, introspective, melancholy, gentle, Garage Rock, Bittersweet, introspection, reflection, eerie, somber, intimate, garage, singer songwriter, country folk, Acoustic Rock, singer-songwriters, yearning, diy, poignant, sunday afternoon, heartache, autumnal, breakup, folky, nocturnal, brooding, sweet dreams, Feeling Blue, gloomy, wistful, enigmatic, weary, bleak, cathartic, Brittle, Long Walk, plaintive, Angst-Ridden, reminiscing, Alternative Country-Rock, female guitarists, Self-Conscious, garage folk, 2020s, 3-5, ten million plays, better than taylor swift, julia jacklin, kentsimbtemp, seen live in the past decade, pro palestine"
Kenny Beats,"seen live, beats, The Police, Hip-Hop, electronic, hip hop, instrumental hip-hop, instrumental, rap, american, producer, Jazz Hop, white, connecticut, kenny beats is the police"
Sampa the Great,"Hip-Hop, rap, hip hop, australian, zambia, seen live, soul, female vocalists, experimental, ninja tune, africa, conscious hip-hop, jazz rap, zambian, afrobeats, pop, singer-songwriter, african, soul jazz, australia, Neo-Soul, Jazz Hop, artists, Conscious Hip Hop, botswana, Ndola"
Lauv,"pop, indie pop, indie, american, jazz, seen live, male vocalists, hairy chest, piano, rnb, United States, All, lauv, electronic, electropop, hip hop, soul, alternative, rap, dance, dance-pop, norwegian, scandinavian, nordic, Smooth Jazz, jazz piano, jazz trio, trio, heartbreak, Norway, jazz pop, america, faroe islands, Trondheim, Scene, alt-pop, Faroese, European Jazz, jazz folk, contemporary rnb, alternative rnb, Melodic Jazz, hunks, 2019, not k-pop, :to listen to in the future:, ten million plays, band: lauv, eminem clone"
Oliver Sim,"indie pop, indie, electronic, british, indie rock, the xx, seen live, alternative, indie electronic, UK, dream pop, queer, Electro-Rock, 3 stars, United Kingdom, art pop, spotify, altnernative"
Sorcha Richardson,"dream pop, indie pop, folk, female vocalists, irish, seen live, indie folk, singer-songwriter, indie rock, acoustic, folk pop, 4, yandex music"
Marci,"indie pop, dream pop, synthpop, female vocalists, synth pop, Canadian, screamo, 4-25"
Disq,"indie pop, indie rock, power pop, USA, Garage Rock, queer, Midwest, wisconsin, madison, garage pop, lgbtq"
Mattiel,"indie rock, indie, female vocalists, rock, USA, atlanta, seen live, alternative, indie pop, blues, singer, songwriter, american, singer-songwriters, 4, 10s, United States, All, burger records, burgerrecords"
Didirri,"indie, folk, australian, seen live, alternative, australia, indie folk, male vocalists, 10s, sofar breda, sofar sounds, australian male vocalists"
Art Moore,"indie pop, dream pop, indie, female vocalists, USA, jangle pop, indie folk, folk pop, 4, bookmarks, yandex music"
Remnose,indie folk
Dan Croll,"indie pop, indie, electronic, seen live, pop, british, indie rock, singer-songwriter, england, dream pop, male vocalists, All, alternative, folk, electro, pop rock, electropop, baroque, rock, UK, acoustic, Lo-Fi, synth pop, world, chamber pop, guitar, Like, folktronica, indie folk, folk pop, Singer/Songwriter, New band of the day, to listen, live gesehen, United Kingdom, for later, try, GTA, Check out more, Dan Croll, heard but not scrobbled, radio mirror park, EA Sports FIFA, corporate indie, ComplimentYourSoul, geohash:gcqmt63fb7zz, 1990-07-18, newcastle-under-lyme"
Alex Lahey,"indie rock, australian, indie, rock, seen live, singer-songwriter, female vocalists, australia, pop, alternative, alternative rock, pop rock, pop punk, indie pop, power pop, alternative pop rock, punk rock, melbourne, lyrical, Aussie, 10s, victoria, All, punk pop, seen live more than once, great discovery, rutracker, sxsw 2017, upcoming album 2023"
Surf Mesa,"electronic, Lo-Fi, seattle, USA, elektro, producer, Chill House, Chill pop"
Emmitt James,
Ondara,"singer-songwriter, folk, kenya, Kenyan, Black folk"
David Wax Museum,"folk, seen live, americana, indie, indie folk, Mexo-Americana, All, USA, american, Alt-country, folk rock, folk pop, lesser known yet streamable artists, spotify, religious reggaeton, psycho-folk, Boston MA, On Tour 2013, rock-indie folk"
Charlotte Cornfield,"Canadian, seen live, folk, indie folk, female vocalist, saw live, spotify, upcoming album 2023"
Fatoumata Diawara,"mali, african, world, female vocalists, guitar, seen live, folk, wassoulou, World Music, malian, jazz, singer-songwriter, africa, female, pop, soul, acoustic, blues, 4, All, alternative, sexy, C, funk, ethnic, day, 3, g, k, 1, afrobeat, f, female vocalist, 00s, j, R, E, misc, 9, 2, 7, 5, 6, i, Richard, o, you, 8, 0, x, bats, d, can, Shady, west african, s, b, Ivory Coast, h, One, a, w, m, t, l, Y, z, n, p, q, v, grady, and, have, zap, Because, u, they, shady grady, kolob, you can, Boneriffic, ploppy, Hie to Kolob, hotter than should be allowed for human beings, miscellaneous specificity, jibby, generalities, sexier than should be allowed for human beings, allowed, nu jazz, chillout, electronic, indie, vocal, male, experimental, indie pop, downtempo, USA"
