Artist,Tags
Toby Martin,"seen live, indie pop, australian"
Imogen Heap,"female vocalists, indie, electronic, singer-songwriter, alternative"
Lupe Fiasco,"Hip-Hop, rap, hip hop, underground hip-hop, chicago"
Shamir,"electronic, synthpop, soul, Hip-Hop, seen live"
The Submarines,"indie pop, indie, female vocalists, indie rock, pop"
HONNE,"electronic, indie, seen live, Neo-Soul, synthpop"
DJ Jazzy Jeff & The Fresh Prince,"Hip-Hop, rap, hip hop, 80s, old school"
Beck,"alternative, indie, rock, singer-songwriter, indie rock"
The Grates,"seen live, australian, indie, indie rock, female vocalists"
Hozier,"blues, indie, soul, singer-songwriter, irish"
Coldplay,"rock, alternative, britpop, alternative rock, indie"
Jessica Pratt,"folk, singer-songwriter, female vocalists, acoustic, seen live"
IAN SWEET,"indie pop, Lo-Fi, female vocalists, dream pop, indie"
J.O.S.E.,
Alex Schaaf,"wow, hipster victory"
Eve Owen,"indie, singer-songwriter, seen live, british, folk"
Haley Heynderickx,"folk, singer-songwriter, indie folk, seen live, indie"
The Weeknd,"rnb, electronic, Canadian, dubstep, prog-rnb"
Rainbow Kitten Surprise,"indie rock, indie, indie pop, alternative, alternative rock"
J.E. Sunde,"Minnesota, folk, indie pop, singer-songwriter, seen live"
Chris Staples,"folk, singer-songwriter, seen live, Christian Indie, indie"
Geowulf,"dream pop, indie pop, female vocalists, Lo-Fi, australia"
Courtney Barnett,"seen live, singer-songwriter, folk, indie, australian"
Wet,"indie pop, electronic, alternative rnb, ambient, indie"
Mallrat,"pop, electronic, seen live, indie pop, australian"
Oscar Scheller,"electronic, british, indie, indie pop, england"
Miniature Tigers,"indie, indie rock, indie pop, seen live, pop"
Yellow Ostrich,"indie, folk, american, seen live, acoustic"
Cosmo Sheldrake,"electronic, folktronica, experimental, british, folk"
Crystal Fighters,"seen live, electronic, dance-punk, electro, spanish"
Heather Maloney & Darlingside,USA
Derek Simpson,"indie, singer-songwriter, long beach"
G-Gifted,
Liza Anne,"singer-songwriter, indie, folk, seen live, indie rock"
Korantemaa,"indie pop, indie, pop, female vocalists, Sweden"
Lord Huron,"folk, seen live, indie, psychedelic, indie pop"
Mt. Joy,"folk, seen live, americana, indie folk, indie"
Yacht Money,"electronic, House, EDM"
Dana and Alden,"jazz, indie, USA"
Elaine Stritch,"Broadway, showtunes, musical theater, musicals, comedy"
Piff Marti,"Hip-Hop, rap, new york, rnb"
Gabrielle Aplin,"acoustic, indie pop, female vocalists, piano, indie"
Mates of State,"seen live, indie, indie pop, indie rock, female vocalists"
Rozi Plain,"seen live, folk, singer-songwriter, female vocalists, indie"
Gaz Coombes,"seen live, rock, indie rock, indie, singer-songwriter"
The Brother Brothers,"folk, americana, seen live, USA, american"
First Rodeo,
Little Simz,"rap, Hip-Hop, hip hop, seen live, Grime"
Taylor Swift,"country, pop, female vocalists, singer-songwriter, acoustic"
Credit Electric,"indie pop, indie rock"
Hank Midnight,"folk, experimental, Experimental pop, cinematic, france"
L'Resorts,"folk, twee, indie, indie pop, twee pop"
The Big Moon,"seen live, indie rock, british, indie, female vocalists"
Paul Spring,"Minnesota, folk, USA, indie folk, saint cloud"
RAYE,"pop, rnb, seen live, british, female vocalists"
Joesef,"soul, pop, Scottish, british, singer-songwriter"
Billy Nomates,"post-punk, Crank wave, spoken word, art punk, indie rock"
SYML,"indie, indie pop, dream pop, pop, seen live"
Black Belt Eagle Scout,"dream pop, indie rock, indie, seen live, ambient"
Bnny,"slowcore, indie pop, indie rock, indie, Lo-Fi"
Great Grandpa,"indie rock, indie, female vocalists, noise pop, Grunge"
Fran,"electro, dutch, netherlands, seen live, Nederlandstalig"
Jadu Heart,"chillwave, experimental, electronic, alternative, rnb"
The Arcs,"blues rock, indie rock, rock, Garage Rock, indie"
Kimbra,"indie pop, female vocalists, soul, alternative, alternative pop"
SG Lewis,"electronic, chillwave, pop, electropop, alternative rnb"
Bread Pilot,"indie, indie pop, indie rock, bedroom pop, noise"
Leland Whitty,"jazz, instrumental, folk, Canadian, chillout"
Christian Lee Hutson,"seen live, indie folk, folk, singer-songwriter, indie"
Scott Matthew,"singer-songwriter, indie, alternative, rock, seen live"
Cash Savage and the Last Drinks,"seen live, country, folk, australian, indie rock"
Born Ruffians,"indie rock, Canadian, seen live, indie, alternative"
Young the Giant,"indie rock, indie, rock, american, seen live"
Raury,"Hip-Hop, soul, folk, seen live, indie"
Francis and the Lights,"funk, electronic, seen live, alternative, soul"
Aisha Badru,"folk, indie, singer-songwriter, acoustic, blues"
Jess Williamson,"folk, singer-songwriter, americana, indie folk, seen live"
Marika Hackman,"seen live, singer-songwriter, british, indie, folk"
Samm Henshaw,"soul, pop, rnb, seen live, neosoul"
Darren Hanlon,"seen live, australian, singer-songwriter, indie, indie pop"
The O'Neill Brothers Group,"piano, Classical, instrumental, ambient, USA"
Mapei,"swedish, seen live, rap, Hip-Hop, hip hop"
Lucy Dacus,"seen live, indie, singer-songwriter, indie rock, folk"
MISSIO,"electronic, alternative, american, alternative rock, electronica"
Battle Ave.,"indie rock, shoegaze, indie, dark pop, rock"
Cool Original,"emo, indie rock, cool american"
Caracara,"emo, indie rock, shoegaze, alternative, seen live"
Log Across the Washer,alternative
The Donkeys,"rock, seen live, Alt-country, power pop, folk rock"
Color Temperature,
Grubby Little Hands,"Philadelphia, folk, ambient, indie rock, psychedelic"
The Preatures,"indie pop, indie, indie rock, seen live, soul"
SOAK,"seen live, indie, female vocalists, singer-songwriter, punk"
Alice Phoebe Lou,"singer-songwriter, folk, seen live, south africa, acoustic"
Laura Jean,"seen live, singer-songwriter, australian, female vocalists, acoustic"
Wormy,"indie, alternative, new york, indie pop, singer-songwriter"
Gordi,"indie pop, heavy metal, indie, female vocalists, seen live"
Bloomsday,"seen live, folk, indie pop, USA, shoegaze"
Boston Bun,"electronic, House, france, french, electronica"
Post Malone,"Hip-Hop, rap, trap, pop, cloud rap"
Pester,
No-No Boy,"folk, american, vocal, singer-songwriter, USA"
Horsegirl,"indie rock, post-punk, Crank wave, noise pop, shoegaze"
Tugboat Captain,"seen live, punk, folk, indie pop, indie rock"
Beloved Melodies,
Adrián Rodríguez van der Spoel,contemporary classical
Ethan Gruska,"folk, indie, alternative, singer-songwriter, american"
The Faim,"pop rock, alternative rock, indie rock, seen live, rock"
Bishop Briggs,"indie, pop, british, alternative, indie rock"
Tove Styrke,"pop, swedish, electropop, electronic, female vocalists"
Katy Lootens,
Betty Who,"pop, synthpop, electropop, female vocalists, indie pop"
Deep Sea Diver,"indie, indie rock, seen live, folk, ambient"
THE ANXIETY,"indie rock, alternative, indie, rock, alternative rock"
Julia Michaels,"pop, female vocalists, singer-songwriter, seen live, american"
Luna Li,"indie pop, dream pop, psychedelic pop, Canadian, Neo-Psychedelia"
Laila Al Habash,"seen live, italian, indie, female vocalists, singer-songwriter"
Nick Mulvey,"acoustic, singer-songwriter, british, seen live, folk"
PLÜM,"electronic, south korea"
Tim Heidecker,"comedy, folk, gospel, indie rock, folk rock"
Alfie Templeman,"indie pop, indie rock, seen live, pop, singer-songwriter"
Bahamas,"seen live, Canadian, singer-songwriter, rock, indie"
The Regrettes,"seen live, female vocalists, pop rock, punk rock, USA"
Rod Wave,"rap, trap, Hip-Hop, hip hop, florida"
Voxtrot,"indie, indie pop, seen live, indie rock, alternative"
BØRNS,"pop, seen live, indie pop, synthpop, indie"
Ashe,"indie pop, Gothic, pop, metal, electronic"
The Futurelics,"Hip-Hop, jazz, soul, funk, blues"
Anderson .Paak,"soul, Hip-Hop, seen live, rnb, Neo-Soul"
Black Sea Dahu,"seen live, swiss, indie, folk, indie folk"
Slum Sociable,"rnb, trip-hop, indie, soul, chillout"
Novo Amor,"folk, indie, acoustic, british, indie folk"
Retrofuture,"female vocalists, UK, shoegaze, 4, multiple artists"
The Goo Goo Dolls,"rock, alternative rock, alternative, 90s, pop"
Ryan Caraveo,"Hip-Hop, electronic, rap, pop, seattle"
Druzu,
Regina Spektor,"female vocalists, indie, singer-songwriter, piano, alternative"
Mac Davis,"country, classic country, 70s, mac davis, classic rock"
Lunar Vacation,"dream pop, indie pop, seen live, indie, female vocalists"
Tj Dizzle SnoMan,
Stellar,"k-pop, pop, Korean, female vocalists, Kpop"
Grace Carter,"rnb, pop, soul, british, female vocalists"
Katy J Pearson,"seen live, indie pop, female vocalists, pop, indie rock"
Summer Salt,"seen live, indie rock, surf rock, indie, Surf"
Pom Pom Squad,"indie rock, indie, alternative, punk, seen live"
Teyana Taylor,"rnb, Hip-Hop, hip hop, pop, female vocalists"
Madi Diaz,"indie, Nashville, americana, Alt-country, kickasstic"
Tycho Jones,"pop, british, UK"
Jack Harlow,"rap, Hip-Hop, trap, pop rap, hip hop"
Vacationer,"indie, chillout, electronic, seen live, american"
Jenny Lewis,"indie, female vocalists, singer-songwriter, seen live, folk"
Lil Nas X,"Hip-Hop, rap, trap, country rap, seen live"
Oh Wonder,"indie, electronic, seen live, indie pop, chillout"
Lauran Hibberd,"indie pop, female vocalists, seen live, indie, indie rock"
Foxx Bodies,"Garage Rock, indie rock, punk rock, Garage Punk, 5432fun"
Spector,"seen live, british, indie, rock, electronic"
MØ,"indie pop, seen live, danish, dream pop, indie"
Counting Crows,"rock, alternative, alternative rock, 90s, seen live"
Colleen Green,"Lo-Fi, indie, indie pop, female vocalists, electronic"
Happy Accidents,"indie, indie rock, jazz, punk, emo"
BETWEEN FRIENDS,"indie pop, electronic, electropop, dance-pop, los angeles"
Hamzaa,"pop, british, indie pop, UK, rnb"
Lo Moon,"seen live, electronic, indie, alternative rock, alternative"
Lala Lala,"indie, Lo-Fi, dream pop, indie pop, seen live"
Alan Ward,
Fightmilk,"indie rock, indie, indie pop, pop punk, rock"
CHERYM,"pop punk, female vocalists, punk rock, northern ireland, punk"
Mini Trees,"dream pop, indie pop, alternative, female vocalists, USA"
Kyle Morgan,
Gang of Youths,"seen live, indie rock, australian, rock, indie"
BADBADNOTGOOD,"jazz, experimental, Hip-Hop, instrumental hip-hop, Avant-Garde"
Maxo Kream,"trap, Hip-Hop, Houston, hip hop, rap"
Smallpools,"indie pop, indie, pop rock, alternative, seen live"
Rosie Tucker,"indie pop, indie rock, power pop, singer-songwriter, Garage Rock"
Big Thief,"seen live, indie rock, indie folk, folk, folk rock"
WebsterX,"hip hop, rap, milwaukee, Hip-Hop, seen live"
Arrested Development,"Hip-Hop, hip hop, rap, alternative rap, 90s"
Remi Wolf,"seen live, indie pop, pop, soul, Neo-Soul"
Bad Suns,"indie rock, indie, rock, seen live, alternative"
Etaoin,"pop, female vocalists, irish, ireland, london based"
Matt Maeson,"indie, indie rock, indie pop, american, alternative"
Bruce Springsteen,"rock, classic rock, singer-songwriter, 80s, folk"
Frankie Valli,"oldies, 60s, classic rock, swing, jazz"
Macie Stewart,"jazz, folk, indie, avant garde, Avant-Garde"
White Lies,"indie rock, seen live, post-punk, british, indie"
Swelo,"indie, funk, electronic, Hip-Hop, alternative"
ill peach,"pop, indie pop, female vocalists, USA, american"
NewDad,"shoegaze, indie, dream pop, indie rock, seen live"
William Prince,"seen live, country, canada, underrated, native american"
Captain Handsome,"indie, indie pop, indiepop"
Self Esteem,"indie pop, seen live, pop, british, hardcore"
O.T. Genasis,"Hip-Hop, rap, trap, BAKING SODA, meme rap"
Nat Lefkoff,United States
Skott,"pop, electronic, swedish, female vocalists, seen live"
Wale,"Hip-Hop, rap, hip hop, DC, seen live"
Sixpence None The Richer,"pop, female vocalists, rock, alternative, christian"
Maddison,"rock, alternative rock, modern rock"
Rubblebucket,"indie pop, indie, seen live, rock, indie rock"
OTM,"Drum and bass, darkside, hardstep, drumfunk, darkstep"
Vince Staples,"Hip-Hop, rap, seen live, underground hip-hop, hip hop"
Memos,"new york, House, Brooklyn, deep house, memos"
NAMIA,"Power metal, christian metal, metal, melodic metal, heavy metal"
Field Medic,"indie folk, Lo-Fi, indie, folk, indie pop"
Claptone,"House, deep house, electronic, seen live, nu disco"
Samuel Jack,"soul, singer-songwriter, UK Pop, male soul vocalists"
Open Blue Sky,
LANY,"synthpop, seen live, indie pop, electronic, pop"
Doja Cat,"pop, rnb, rap, Hip-Hop, seen live"
BENEE,"pop, indie pop, New Zealand, indie, female vocalists"
Tove Lo,"pop, swedish, electronic, female vocalists, indie"
Clubhouse,"dance, electronic, indie pop, indie, 80s"
MIA,"german, electronic, deutsch, pop, indie"
Holy Pinto,"indie, british, folk, indie pop, singer-songwriter"
Mokita,"electronic, indie pop, post-hardcore, indie, pop"
Noah Cyrus,"pop, female vocalists, Disney, dance, better than selena gomez"
BeatKing,"Hip-Hop, hip hop, rap, USA, Estados Unidos"
Diners,"indie rock, arizona, rock, Surf, indie pop"
Hinterländer,
Beach Bunny,"indie rock, indie pop, indie, seen live, power pop"
Tornado Wallace,"House, deep house, Disco, australian, australia"
Emblem3,"pop, X factor, male vocalists, Emblem3, american"
Hellhills,"lithuanian, alternative metal, electronic, alternative rock, Progressive"
Beyoncé,"rnb, pop, female vocalists, soul, Hip-Hop"
Joel Laviolette,
Louis The Child,"electronic, nu disco, future bass, french touch, seen live"
ELIO,"pop, indie pop, canada, Canadian, Italy"
Jess Glynne,"pop, british, seen live, electropop, female vocalists"
Wild Pink,"indie rock, indie, new york, american, seen live"
Laufey,"jazz, pop, female vocalists, icelandic, seen live"
Confidence Man,"seen live, pop, australian, dance, australia"
LOLO,"trance, progressive trance, electronic, uplifting trance, melodic trance"
Finom,"indie rock, rock, indie pop, Garage Rock, chicago"
Surfaces,"pop, indie, soul, USA, indie pop"
Ellie Jackson,seen live
Carly Rae Jepsen,"pop, Canadian, female vocalists, folk, acoustic"
GGOOLLDD,"indie, indie pop, electronic, pop, female vocalists"
Cheekface,"indie rock, post-punk, power pop, seen live, indie"
Adwaith,"seen live, rock, folk, indie rock, art rock"
Adam Melchor,"folk, seen live, indie pop, singer-songwriter, american"
Dehd,"indie rock, post-punk, seen live, Garage Rock, Crank wave"
Porridge Radio,"post-punk, Crank wave, indie rock, art punk, seen live"
Peder B. Helland,"new age, instrumental, ambient, piano, composer"
Chris Koza,"seen live, Minnesota, singer-songwriter, indie, Minneapolis"
John C. Cale and Nico Nico,Inne
Corey Harper,"pop, acoustic, american"
Chance the Rapper,"Hip-Hop, rap, hip hop, seen live, chicago"
Paul Cardall,"piano, instrumental, new age, relaxing, LDS"
Hugo Lemieux,
B.o.B,"Hip-Hop, rap, hip hop, Dirty South, atlanta"
Tyrone Wells,"singer-songwriter, acoustic, folk, soft rock, Mellow"
Harry Styles,"pop, seen live, rock, pop rock, alternative"
RAVENS,"doo wop, 60s garage, heavy metal, electronic, seen live"
Briston Maroney,"indie rock, singer-songwriter, american, seen live, alternative"
Sharon Van Etten,"folk, seen live, singer-songwriter, female vocalists, indie folk"
Wilder Maker,"pop, indie pop, indie rock, cowboy pop"
Animal Fiction,"indie, indie pop"
Chase Atlantic,"rnb, indie, rock, australian, alternative"
Ryan Montbleau,"seen live, rock, singer-songwriter, jam band, soul"
Death Cab for Cutie,"indie, indie rock, alternative, seen live, rock"
John K,"indie pop, Lo-Fi, pop, american, indie"
Dionne Warwick,"soul, female vocalists, pop, 60s, oldies"
Adult Mom,"Lo-Fi, female vocalists, folk, indie pop, seen live"
Malik Harris,"pop, eurovision 2022, german, Eurovision Song Contest, Eurovision"
Sasha Alex Sloan,"indie pop, female vocalists, indie, pop, singer-songwriter"
Bella Thorne,"dance, pop, electronic, rnb, Disney"
Brenton Wood,"soul, 60s, oldies, rhythm and blues, rnb"
Lola Blanc,"pop, electropop, electronic, indie pop, american"
Alex G,"seen live, singer-songwriter, Lo-Fi, indie rock, indie"
Lake Street Dive,"soul, jazz, swing, indie, seen live"
Forgive Durden,"seen live, indie, rock, alternative, emo"
Hayley Gene Penner,Canadian
Nelly,"Hip-Hop, rap, rnb, hip hop, Nelly"
The Outfield,"80s, rock, classic rock, pop, british"
Nozomi Lyn,
The Linda Lindas,"riot grrrl, punk, punk rock, seen live, Garage Punk"
Amber Run,"indie, indie rock, rock, british, pop rock"
A.K.A. Pella,jewish
Magnus Fiennes,"classic, electronic, piano, remixer, Onegin"
Houndmouth,"indie folk, indie, folk, seen live, indie rock"
Gnarls Barkley,"funk, soul, Hip-Hop, alternative, hip hop"
Failures9997,
dodie,"indie, folk, indie pop, pop, british"
TELYKAST,"electronic, USA, los angeles"
BoyWithUke,"indie pop, pop, electronic, singer-songwriter, Lo-Fi"
Dreamliners,"60s, christmas"
grentperez,"indie, Bossa Nova, pop, singer-songwriter, australian"
Finnibwoi,
mgk,"rap, Hip-Hop, hip hop, pop punk, Cleveland"
Phonique,"electronic, minimal, House, deep house, electronica"
Fitz and The Tantrums,"soul, pop, seen live, indie, funk"
Emily Watts,"rusty, Emily Grace Watts, Emily Watts, Rusty Watts, The Shady Drive"
Call Me Karizma,"Hip-Hop, rap, alternative, alternative rock, seen live"
Paul McCartney,"classic rock, rock, british, singer-songwriter, pop"
Gorillaz,"alternative, electronic, Hip-Hop, rock, indie"
Chris Classic,"bts, JAMES BLUNT, eat shit, Argeur California Seixas, jungkook"
Nicholas Ian Carter,
Astèr Fekre,"soul, hip hop, pop, female vocalists, urban"
The A's,"folk, power pop, new wave, seen live, indie"
Urban Party Biz,
Macy Gray,"soul, female vocalists, rnb, funk, pop"
Gerry & The Pacemakers,"60s, oldies, merseybeat, classic rock, british invasion"
Jukebox The Ghost,"indie pop, seen live, indie, piano rock, indie rock"
Kidsnot$aints.,
Dwara,"finnish, female vocalists, UK, Indian, india"
Maggie Rogers,"seen live, indie pop, pop, folk, singer-songwriter"
$ledge,
Billy Idol,"rock, 80s, new wave, classic rock, punk"
Melody Lake,"chill, instrumental, ambient"
Giraffe Tongue Orchestra,"Progressive metal, alternative rock, experimental, Progressive rock, hard rock"
Holly Kluge,
Beth Crowley,"singer-songwriter, pop, piano, youtube, United States"
Benny Sings,"jazz, soul, pop, chillout, dutch"
One Direction,"pop, british, one direction, boyband, X factor"
Rudy Mancuso,american
Kim Jung Mi,"Korean, psychedelic, psychedelic folk, folk, folk pop"
Sia,"female vocalists, chillout, indie, trip-hop, downtempo"
Lydia,"indie, indie rock, ambient, female vocalists, emo"
NEIL FRANCES,"electronic, indie, soul, indietronica, indie pop"
Yoke Lore,"indie pop, indie, american, indie folk, pop"
Wilderado,"alternative, indie, indie rock, folk, USA"
Tom Rosenthal,"folk, indie, british, singer-songwriter, chamber pop"
YACHT,"seen live, electronic, experimental, indie pop, indie"
A.M. Stryker,
Dr. Dog,"seen live, indie, indie rock, Lo-Fi, alternative"
sadboy hour,
Ruby Fields,"indie, indie rock, female vocalists, seen live, rock"
Run River North,"indie, folk, indie rock, indie folk, seen live"
Brittany Howard,"soul, blues, blues rock, singer-songwriter, Psychedelic Soul"
ASL,"indie pop, synthpop, pop, alternative, USA"
San Cisco,"indie pop, indie, australian, indie rock, alternative"
OG Bey Harris,
